,InA,OutA,InB,OutB,InC,OutC,f1,f2,f3,NetP,NetS,f1/f2,f1/f3,log2(InTT)
11,2.0,4.0,2.0,6.0,3.0,3.0,0.6577157494920943,0.3190177546153167,0.0232664958925889,E:2N,10N,2.061690109646694,28.268792710706265,2.807354922057604
12,3.0,3.0,3.0,4.0,5.0,3.0,0.5358256525109829,0.4323369799293651,0.031837367559652,E:2N,10N,1.239370392508468,16.83008658008658,3.4594316186372973
13,3.0,4.0,3.0,3.0,2.0,4.0,0.6546462498990823,0.3225463548534675,0.0228073952474501,E:2N,10N,2.029619123107088,28.70324483775817,3.0
14,3.0,4.0,3.0,5.0,4.0,3.0,0.5308164028823787,0.4406038030482945,0.0285797940693267,E:2N,10N,1.204747664931517,18.57313602731932,3.321928094887362
15,3.0,3.0,3.0,3.0,4.0,3.0,0.5494185163817448,0.4174991649713054,0.0330823186469498,E:2N,10N,1.3159751263682316,16.607618173474105,3.321928094887362
16,5.0,3.0,3.0,3.0,5.0,3.0,0.52732819407402,0.4340725585473676,0.0385992473786124,E:2N,10N,1.2148388182812897,13.661618551822054,3.700439718141092
17,4.0,4.0,2.0,3.0,4.0,5.0,0.6189235127478754,0.3608923512747875,0.0201841359773371,E:2N,10N,1.7149809647160408,30.663859649122827,3.321928094887362
18,2.0,3.0,5.0,3.0,3.0,4.0,0.642669983416252,0.3356384742951907,0.0216915422885572,E:2N,10N,1.9147685162310388,29.62767584097861,3.321928094887362
19,2.0,3.0,4.0,3.0,3.0,3.0,0.5742678383629526,0.3950553466070123,0.0306768150300351,E:2N,10N,1.4536389477958764,18.71993027309705,3.169925001442312
20,2.0,3.0,5.0,3.0,3.0,4.0,0.6167457446641925,0.3663895022000908,0.0168647531357166,E:2N,10N,1.683306265492777,36.57010213556182,3.321928094887362
21,3.0,4.0,3.0,4.0,2.0,3.0,0.6324005747546334,0.3490416697109179,0.0185577555344487,E:2N,10N,1.8118197041585267,34.0774278215224,3.0
22,4.0,3.0,2.0,4.0,3.0,4.0,0.5932381352372953,0.3780824383512329,0.0286794264114717,E:2N,10N,1.5690708561453626,20.685146443514697,3.169925001442312
23,3.0,4.0,3.0,3.0,4.0,4.0,0.57449799767105,0.3919310403589991,0.0335709619699508,E:2N,10N,1.4658139787673468,17.112944162436584,3.321928094887362
24,4.0,3.0,2.0,4.0,5.0,3.0,0.5196726572528884,0.445908215661104,0.0344191270860077,E:2N,10N,1.1654251682320342,15.0983682983683,3.4594316186372973
25,3.0,4.0,2.0,3.0,4.0,4.0,0.5578275708562102,0.4028342484048078,0.039338180738982,E:2N,10N,1.3847570633955872,14.180309317238795,3.169925001442312
26,5.0,4.0,4.0,4.0,4.0,3.0,0.4711849292163638,0.4889458625942853,0.0398692081893508,E:2N,10N,0.9636750512956911,11.818266542404492,3.700439718141092
27,3.0,3.0,3.0,3.0,2.0,4.0,0.6290370685982105,0.3452279505752024,0.0257349808265871,E:2N,10N,1.82209194692996,24.44288079470202,3.0
28,3.0,3.0,5.0,3.0,2.0,3.0,0.6145665292465794,0.3594630658620621,0.0259704048913584,E:2N,10N,1.7096792066042439,23.664110429447913,3.321928094887362
29,5.0,5.0,2.0,4.0,2.0,3.0,0.6400631827718427,0.3248486748498806,0.0350881423782767,E:2N,10N,1.9703426004973834,18.24158075601375,3.169925001442312
30,3.0,3.0,4.0,3.0,3.0,3.0,0.5327732379002162,0.4249708150728188,0.0422559470269649,E:2N,10N,1.2536701792308385,12.608242753623207,3.321928094887362
31,3.0,5.0,4.0,3.0,2.0,3.0,0.5766859758277909,0.3825788457412572,0.0407351784309518,E:2N,10N,1.5073650366382534,14.156952247191036,3.169925001442312
32,5.0,3.0,4.0,4.0,2.0,3.0,0.6282103119337497,0.3522769815954595,0.0195127064707908,E:2N,10N,1.7832851555857847,32.194934765924856,3.4594316186372973
33,4.0,4.0,2.0,3.0,4.0,4.0,0.5319511891420745,0.4077574399203088,0.0602913709376167,E:2N,10N,1.304577518551318,8.823007021891785,3.321928094887362
34,3.0,3.0,4.0,4.0,4.0,4.0,0.4887398517472643,0.4533474526414872,0.0579126956112483,E:2N,10N,1.0780690371139372,8.43925233644861,3.4594316186372973
35,3.0,3.0,3.0,3.0,4.0,3.0,0.4753144206113395,0.4827356967452209,0.0419498826434395,E:2N,10N,0.9846266265703607,11.330530401034947,3.321928094887362
36,3.0,3.0,3.0,5.0,5.0,4.0,0.5355413759713981,0.4503438687091888,0.014114755319413,E:2N,10N,1.1891832290431956,37.94195250659648,3.4594316186372973
37,2.0,4.0,5.0,4.0,3.0,3.0,0.5367519609859279,0.4157437057492876,0.0475043332647845,E:2N,10N,1.2910645514609758,11.29901051329623,3.321928094887362
38,5.0,3.0,4.0,4.0,2.0,3.0,0.5964869677837138,0.3784739085856133,0.0250391236306729,E:2N,10N,1.5760319384045056,23.822198275862096,3.4594316186372973
39,2.0,4.0,2.0,4.0,3.0,3.0,0.6667785094157614,0.30821065581792,0.0250108347663185,E:2N,10N,2.1633856481901477,26.659586361095645,2.807354922057604
40,4.0,4.0,4.0,3.0,2.0,3.0,0.6655548075157598,0.3203531427871963,0.0140920496970438,E:2N,10N,2.077566031427616,47.22909880564631,3.321928094887362
41,5.0,3.0,4.0,3.0,4.0,4.0,0.5132611328570676,0.4566709378455705,0.0300679292973618,E:2N,10N,1.1239189760541186,17.070052539404564,3.700439718141092
42,2.0,4.0,3.0,3.0,4.0,3.0,0.5556220931393098,0.3935565003892449,0.0508214064714453,E:2N,10N,1.4117975248529113,10.932835820895544,3.169925001442312
43,3.0,4.0,3.0,3.0,5.0,4.0,0.5089139765416639,0.4488438118362314,0.0422422116221047,E:2N,10N,1.1338331132597863,12.047522063815357,3.4594316186372973
